date,value
1970-01-01,430473.0
1971-01-01,569230.0
1972-01-01,696215.0
1973-01-01,785159.0
1974-01-01,954674.0
1975-01-01,1089808.0
1976-01-01,1119849.0
1977-01-01,1182411.0
1978-01-01,1251116.0
1979-01-01,1340662.0
1980-01-01,1409243.0
1981-01-01,1419426.0
1982-01-01,1436287.0
1983-01-01,1479397.0
1986-01-01,1451191.0
1987-01-01,1470555.0
1988-01-01,1503560.0
1989-01-01,1518904.0
1990-01-01,1540080.0
1991-01-01,1619310.0
1992-01-01,1591176.0
1993-01-01,1652333.0
1994-01-01,1716263.0
1996-01-01,1868529.0
1998-01-01,2203599.0
1999-01-01,2456961.0
2000-01-01,2781328.0
2001-01-01,3125745.0
2002-01-01,3582105.0
2003-01-01,3994422.0
2004-01-01,4275027.0
2005-01-01,4572297.0
2007-01-01,5272877.0
2008-01-01,5958135.0
2009-01-01,6115138.0
2010-01-01,6552707.0
2011-01-01,6929324.0
2012-01-01,7241405.0
2013-01-01,7541112.0
2014-01-01,8072146.0
2015-01-01,8285475.0
2016-01-01,8319089.0
2017-01-01,8571423.0
2018-01-01,8741996.0
